epoch,accuracy,loss,val_accuracy,val_loss
0,0.8062499761581421,0.42484235763549805,0.5,0.7104098200798035
1,0.8923611044883728,0.28212571144104004,0.5,0.7348181009292603
2,0.887499988079071,0.26368018984794617,0.5687500238418579,0.6771553158760071
3,0.8972222208976746,0.24676840007305145,0.59375,0.6732020378112793
4,0.9173611402511597,0.2213132381439209,0.53125,0.7433203458786011
5,0.918055534362793,0.21245136857032776,0.518750011920929,0.8485439419746399
6,0.9263888597488403,0.19263961911201477,0.5062500238418579,1.1016998291015625
7,0.9284722208976746,0.19503356516361237,0.5375000238418579,1.0812666416168213
8,0.9326388835906982,0.18301500380039215,0.7124999761581421,0.6599220037460327
9,0.9291666746139526,0.1675817221403122,0.8062499761581421,0.5159715414047241
10,0.9236111044883728,0.18422438204288483,0.862500011920929,0.39361315965652466
11,0.9312499761581421,0.17370368540287018,0.9312499761581421,0.20547957718372345
12,0.9291666746139526,0.18870829045772552,0.956250011920929,0.1466747224330902
13,0.9326388835906982,0.16539567708969116,0.956250011920929,0.14084985852241516
14,0.9409722089767456,0.154188334941864,0.956250011920929,0.15090665221214294
15,0.9368055462837219,0.16515778005123138,0.96875,0.12231136858463287
16,0.9472222328186035,0.15520770847797394,0.96875,0.13287755846977234
17,0.9381944537162781,0.16021327674388885,0.9437500238418579,0.11271192133426666
18,0.9409722089767456,0.16206160187721252,0.9624999761581421,0.09503813087940216
19,0.9333333373069763,0.16170336306095123,0.9624999761581421,0.12762849032878876
20,0.9451388716697693,0.15368424355983734,0.96875,0.09525640308856964
21,0.9458333253860474,0.13771502673625946,0.9624999761581421,0.1115172877907753
22,0.9416666626930237,0.1440192610025406,0.96875,0.10714399814605713
23,0.9437500238418579,0.13950785994529724,0.9624999761581421,0.12056410312652588
24,0.9527778029441833,0.1294879913330078,0.9624999761581421,0.1161654144525528
